,word,count,cum_freq,cum_perc,percentile,length,volume
122,first,31096,15295771,56.5490290491,60,5,>10K
123,show,30912,15326683,56.6633118522,60,4,>10K
124,next,30902,15357585,56.777557685,60,4,>10K
125,im,30419,15388004,56.8900178489,60,2,>10K
126,better,30075,15418079,57.0012062322,60,6,>10K
127,please,29870,15447949,57.1116367229,60,6,>10K
128,game,29844,15477793,57.2219710907,60,4,>10K
129,twitter,29560,15507353,57.3312555,60,7,>10K
130,week,29315,15536668,57.4396341353,60,4,>10K
131,always,29048,15565716,57.5470256618,60,6,>10K
132,tomorrow,28909,15594625,57.6539033001,60,8,>10K
133,where,28543,15623168,57.7594278229,60,5,>10K
134,take,28466,15651634,57.8646676739,60,4,>10K
135,their,28395,15680029,57.9696450353,60,5,>10K
136,yes,28032,15708061,58.0732803723,60,3,>10K
137,year,27741,15735802,58.1758398716,60,4,>10K
138,down,27503,15763305,58.2775194761,60,4,>10K
139,him,27482,15790787,58.3791214428,60,3,>10K
140,man,27293,15818080,58.4800246696,60,3,>10K
141,any,27004,15845084,58.5798594527,60,3,>10K
142,wait,27000,15872084,58.6796794477,60,4,>10K
143,haha,26887,15898971,58.7790816775,60,4,>10K
144,could,26808,15925779,58.8781918414,60,5,>10K
145,were,26432,15952211,58.9759119194,60,4,>10K
146,morning,26278,15978489,59.0730626538,60,7,>10K
147,away,26258,16004747,59.1701394474,60,4,>10K
148,hey,26185,16030932,59.2669463574,60,3,>10K
149,everyone,25885,16056817,59.3626441562,60,8,>10K
150,even,25821,16082638,59.4581053448,60,4,>10K
151,getting,25695,16108333,59.5531007067,60,7,>10K
152,looking,25388,16133721,59.6469610782,60,7,>10K
153,very,25334,16159055,59.7406218098,60,4,>10K
154,sure,24956,16184011,59.8328850615,60,4,>10K
155,ever,24837,16208848,59.9247083657,60,4,>10K
156,look,24748,16233596,60.0162026337,70,4,>10K
157,awesome,24510,16258106,60.1068170069,70,7,>10K
158,feel,24445,16282551,60.1971910727,70,4,>10K
159,home,24017,16306568,60.2859828068,70,4,>10K
160,after,23613,16330181,60.3732809379,70,5,>10K
161,big,23434,16353615,60.4599172995,70,3,>10K
162,being,23363,16376978,60.5462911715,70,5,>10K
163,because,23105,16400083,60.6317112079,70,7,>10K
164,d,22941,16423024,60.7165249303,70,1,>10K
165,fun,22757,16445781,60.8006583979,70,3,>10K
166,weekend,22412,16468193,60.8835163878,70,7,>10K
167,keep,22381,16490574,60.9662597696,70,4,>10K
168,again,22340,16512914,61.0488515728,70,5,>10K
169,nice,22210,16535124,61.1309627613,70,4,>10K
170,something,22160,16557284,61.2128890979,70,9,>10K
171,those,22047,16579331,61.2943976693,70,5,>10K
172,yeah,21760,16601091,61.3748451912,70,4,>10K
173,gonna,21683,16622774,61.4550080412,70,5,>10K
174,into,21645,16644419,61.5350304039,70,4,>10K
175,www,21398,16665817,61.6141395984,70,3,>10K
176,thing,21382,16687199,61.6931896404,70,5,>10K
177,world,21161,16708360,61.7714226372,70,5,>10K
178,doing,21152,16729512,61.8496223606,70,5,>10K
179,someone,21088,16750600,61.9275854737,70,7,>10K
180,things,21033,16771633,62.0053452498,70,6,>10K
181,guys,20824,16792457,62.0823323452,70,4,>10K
182,school,20708,16813165,62.1588905843,70,6,>10K
183,w,20634,16833799,62.2351752427,70,1,>10K
184,bad,20512,16854311,62.3110088626,70,3,>10K
185,check,20296,16874607,62.3860439225,70,5,>10K
186,live,20281,16894888,62.4610235269,70,4,>10K
187,help,20084,16914972,62.535274815,70,4,>10K
188,miss,19896,16934868,62.6088310602,70,4,>10K
189,free,19812,16954680,62.6820767543,70,4,>10K
190,every,19672,16974352,62.7548048632,70,5,>10K
191,does,19647,16993999,62.8274405462,70,4,>10K
192,watching,19534,17013533,62.899658464,70,8,>10K
193,tell,19498,17033031,62.9717432886,70,4,>10K
194,soon,19466,17052497,63.0437098079,70,4,>10K
195,tweet,19335,17071832,63.1151920154,70,5,>10K
196,amazing,19178,17091010,63.1860937881,70,7,>10K
197,long,19073,17110083,63.256607372,70,4,>10K
198,give,19011,17129094,63.3268917396,70,4,>10K
199,music,18984,17148078,63.3970762871,70,5,>10K
200,call,18952,17167030,63.4671425295,70,4,>10K
201,coming,18928,17185958,63.537120043,70,6,>10K
202,many,18805,17204763,63.606642821,70,4,>10K
203,little,18752,17223515,63.6759696561,70,6,>10K
204,before,18643,17242158,63.7448935141,70,6,>10K
205,may,18498,17260656,63.8132813017,70,3,>10K
206,days,18336,17278992,63.8810701694,70,4,>10K
207,hate,18299,17297291,63.9487222468,70,4,>10K
208,stop,18227,17315518,64.0161081374,70,4,>10K
209,wish,18185,17333703,64.0833387526,70,4,>10K
210,most,18184,17351887,64.1505656707,70,4,>10K
211,same,18183,17370070,64.2177888917,70,4,>10K
212,didn,18066,17388136,64.2845795595,70,4,>10K
213,friends,18041,17406177,64.3512778013,70,7,>10K
214,said,17981,17424158,64.4177542209,70,4,>10K
215,r,17535,17441693,64.4825817621,70,1,>10K
216,god,17465,17459158,64.5471505107,70,3,>10K
217,start,17446,17476604,64.6116490156,70,5,>10K
218,girl,17412,17494016,64.6760218212,70,4,>10K
219,done,17399,17511415,64.7403465654,70,4,>10K
220,ready,17291,17528706,64.8042720296,70,5,>10K
221,find,17268,17545974,64.8681124619,70,4,>10K
222,cool,16866,17562840,64.9304666855,70,4,>10K
223,two,16803,17579643,64.9925879957,70,3,>10K
224,finally,16715,17596358,65.0543839666,70,7,>10K
225,another,16715,17613073,65.1161799376,70,7,>10K
226,watch,16681,17629754,65.1778502093,70,5,>10K
227,play,16657,17646411,65.2394317521,70,4,>10K
228,pretty,16651,17663062,65.3009911127,70,6,>10K
229,anyone,16249,17679311,65.3610642645,70,6,>10K
230,birthday,16156,17695467,65.4207935919,70,8,>10K
231,also,16120,17711587,65.4803898259,70,4,>10K
232,talk,16007,17727594,65.5395682948,70,4,>10K
233,old,16005,17743599,65.5987393696,70,3,>10K
234,these,15896,17759495,65.6575074674,70,5,>10K
235,real,15839,17775334,65.716064834,70,4,>10K
236,win,15814,17791148,65.7745297748,70,3,>10K
237,face,15801,17806949,65.8329466541,70,4,>10K
238,use,15770,17822719,65.8912489252,70,3,>10K
239,excited,15492,17838211,65.9485234201,70,7,>10K
240,friday,15336,17853547,66.0052211773,70,6,>10K
241,hear,15186,17868733,66.0613643789,70,4,>10K
242,working,15109,17883842,66.1172229087,70,7,>10K
243,hard,14965,17898807,66.1725490651,70,4,>10K
244,having,14883,17913690,66.2275720646,70,6,>10K
245,try,14869,17928559,66.2825433055,70,3,>10K
246,around,14822,17943381,66.3373407857,70,6,>10K
247,sorry,14749,17958130,66.3918683822,70,5,>10K
248,thought,14715,17972845,66.4462702795,70,7,>10K
249,ur,14706,17987551,66.5006389034,70,2,>10K
250,team,14474,18002025,66.5541498148,70,4,>10K
251,s,14461,18016486,66.6076126647,70,1,>10K
252,while,14408,18030894,66.6608795716,70,5,>10K
253,already,14405,18045299,66.7141353875,70,7,>10K
254,wanna,14242,18059541,66.7667885863,70,5,>10K
255,maybe,14193,18073734,66.8192606303,70,5,>10K
256,put,14129,18087863,66.871496064,70,3,>10K
257,though,14121,18101984,66.9237019214,70,6,>10K
258,ya,14066,18116050,66.9757044417,70,2,>10K
259,makes,14050,18130100,67.0276478095,70,5,>10K
260,glad,14013,18144113,67.0794543869,70,4,>10K
261,ok,13738,18157851,67.1302442791,70,2,>10K
262,trying,13619,18171470,67.180594224,70,6,>10K
263,house,13466,18184936,67.2303785222,70,5,>10K
264,lot,13429,18198365,67.2800260301,70,3,>10K
265,forward,13376,18211741,67.329477595,70,7,>10K
266,yet,13318,18225059,67.3787147318,70,3,>10K
267,nothing,13317,18238376,67.4279481715,70,7,>10K
268,beautiful,13296,18251672,67.4771039735,70,9,>10K
269,wow,13291,18264963,67.5262412903,70,3,>10K
270,won,13229,18278192,67.5751493908,70,3,>10K
271,dont,13223,18291415,67.6240353091,70,4,>10K
272,years,13163,18304578,67.6726994051,70,5,>10K
273,doesn,13096,18317674,67.7211157997,70,5,>10K
274,looks,13058,18330732,67.7693917069,70,5,>10K
275,friend,13024,18343756,67.8175419149,70,6,>10K
276,sleep,13006,18356762,67.8656255762,70,5,>10K
277,following,13000,18369762,67.9136870552,70,9,>10K
278,true,12986,18382748,67.9616967758,70,4,>10K
279,job,12972,18395720,68.0096547378,70,3,>10K
280,party,12862,18408582,68.0572060258,70,5,>10K
281,saw,12855,18421437,68.1047314345,70,3,>10K
282,welcome,12842,18434279,68.1522087817,70,7,>10K
283,everything,12757,18447036,68.1993718808,70,10,>10K
284,guy,12655,18459691,68.2461578822,70,3,>10K
285,song,12607,18472298,68.2927664258,70,4,>10K
286,through,12530,18484828,68.3390902975,70,7,>10K
287,mean,12523,18497351,68.38538829,70,4,>10K
288,favorite,12443,18509794,68.4313905195,70,8,>10K
289,might,12346,18522140,68.4770341365,70,5,>10K
290,com,12322,18534462,68.5225890246,70,3,>10K
291,must,12273,18546735,68.5679627578,70,4,>10K
292,until,12199,18558934,68.6130629104,70,5,>10K
293,making,12168,18571102,68.6580484548,70,6,>10K
294,p,12029,18583131,68.702520111,70,1,>10K
295,stay,11966,18595097,68.746758854,70,4,>10K
296,person,11898,18606995,68.7907461985,70,6,>10K
297,name,11893,18618888,68.8347150577,70,4,>10K
298,damn,11773,18630661,68.8782402726,70,4,>10K
299,food,11709,18642370,68.9215288771,70,4,>10K
300,mom,11703,18654073,68.9647952993,70,3,>10K
301,family,11675,18665748,69.0079582046,70,6,>10K
302,book,11647,18677395,69.0510175928,70,4,>10K
303,anything,11620,18689015,69.093977161,70,8,>10K
304,read,11607,18700622,69.1368886677,70,4,>10K
305,actually,11543,18712165,69.1795635641,70,8,>10K
306,end,11531,18723696,69.222194096,70,3,>10K
307,few,11527,18735223,69.2648098398,70,3,>10K
308,phone,11512,18746735,69.307370128,70,5,>10K
309,which,11489,18758224,69.3498453844,70,5,>10K
310,hit,11466,18769690,69.3922356089,70,3,>10K
311,omg,11355,18781045,69.4342154623,70,3,>10K
312,congrats,11311,18792356,69.4760326462,70,8,>10K
313,n,11279,18803635,69.5177315248,70,1,>10K
314,tickets,11237,18814872,69.5592751279,70,7,>10K
315,money,11211,18826083,69.600722608,70,5,>10K
316,place,11196,18837279,69.6421146326,70,5,>10K
317,since,11112,18848391,69.6831961061,70,5,>10K
318,gotta,11090,18859481,69.7241962448,70,5,>10K
319,open,11063,18870544,69.7650965635,70,4,>10K
320,guess,11063,18881607,69.8059968821,70,5,>10K
321,movie,10968,18892575,69.8465459823,70,5,>10K
322,baby,10893,18903468,69.8868178047,70,4,>10K
323,o,10859,18914327,69.9269639279,70,1,>10K
324,believe,10831,18925158,69.967006534,70,7,>10K
325,playing,10801,18935959,70.0069382291,80,7,>10K
326,season,10644,18946603,70.0462894893,80,6,>10K
327,both,10641,18957244,70.0856296584,80,4,>10K
328,such,10620,18967864,70.1248921898,80,4,>10K
329,crazy,10582,18978446,70.1640142337,80,5,>10K
330,video,10573,18989019,70.2031030044,80,5,>10K
331,own,10554,18999573,70.2421215313,80,3,>10K
332,change,10518,19010091,70.2810069649,80,6,>10K
333,support,10412,19020503,70.3195005126,80,7,>10K
334,sounds,10411,19030914,70.3579903632,80,6,>10K
335,hot,10393,19041307,70.3964136672,80,3,>10K
336,else,10370,19051677,70.4347519394,80,4,>10K
337,run,10334,19062011,70.4729571182,80,3,>10K
338,news,10331,19072342,70.5111512059,80,4,>10K
339,remember,10326,19082668,70.5493268084,80,8,>10K
340,funny,10257,19092925,70.5872473154,80,5,>10K
341,talking,10246,19103171,70.625127155,80,7,>10K
342,head,10207,19113378,70.6628628101,80,4,>10K
343,kids,10175,19123553,70.7004801601,80,4,>10K
344,sometimes,10153,19133706,70.7380161752,80,9,>10K
345,left,10143,19143849,70.77551522,80,4,>10K
346,went,10133,19153982,70.8129772944,80,4,>10K
347,enjoy,10107,19164089,70.8503432458,80,5,>10K
348,meet,10085,19174174,70.8876278625,80,4,>10K
349,followers,10065,19184239,70.9248385384,80,9,>10K
350,summer,10033,19194272,70.9619309091,80,6,>10K
351,says,10001,19204273,70.9989049747,80,4,>10K
352,without,9979,19214252,71.0357977054,80,7,>1K
353,stuff,9944,19224196,71.0725610398,80,5,>1K
354,thinking,9833,19234029,71.1089140032,80,8,>1K
355,enough,9787,19243816,71.1450969028,80,6,>1K
356,part,9768,19253584,71.1812095588,80,4,>1K
357,early,9710,19263294,71.2171077866,80,5,>1K
358,service,9685,19272979,71.2529135885,80,7,>1K
359,times,9635,19282614,71.2885345386,80,5,>1K
360,b,9604,19292218,71.3240408805,80,1,>1K
361,city,9593,19301811,71.359506555,80,4,>1K
362,word,9560,19311371,71.3948502273,80,4,>1K
363,facebook,9530,19320901,71.4300829885,80,8,>1K
364,far,9507,19330408,71.4652307178,80,3,>1K
365,email,9496,19339904,71.5003377798,80,5,>1K
366,luck,9492,19349396,71.5354300536,80,4,>1K
367,hours,9491,19358887,71.5705186303,80,5,>1K
368,mind,9488,19368375,71.605596116,80,4,>1K
369,hi,9459,19377834,71.6405663875,80,2,>1K
370,ask,9380,19387214,71.6752445932,80,3,>1K
371,high,9346,19396560,71.7097970996,80,4,>1K
372,needs,9292,19405852,71.744149966,80,5,>1K
373,hell,9267,19415119,71.7784104065,80,4,>1K
374,care,9258,19424377,71.8126375737,80,4,>1K
375,tweets,9244,19433621,71.8468129823,80,6,>1K
376,ha,9219,19442840,71.8808959651,80,2,>1K
377,cause,9208,19452048,71.9149382804,80,5,>1K
378,heart,9094,19461142,71.9485591335,80,5,>1K
379,heard,9071,19470213,71.9820949548,80,5,>1K
380,send,9050,19479263,72.0155531383,80,4,>1K
381,myself,9022,19488285,72.0489078047,80,6,>1K
382,isn,9013,19497298,72.0822291979,80,3,>1K
383,fan,8928,19506226,72.1152363429,80,3,>1K
384,almost,8889,19515115,72.1480993034,80,6,>1K
385,haven,8887,19524002,72.1809548699,80,5,>1K
386,bring,8830,19532832,72.2135997053,80,5,>1K
387,saturday,8784,19541616,72.246074477,80,8,>1K
388,idea,8740,19550356,72.2783865791,80,4,>1K
389,business,8704,19559060,72.3105655879,80,8,>1K
390,seen,8687,19567747,72.342681747,80,4,>1K
391,sunday,8678,19576425,72.3747646328,80,6,>1K
392,wrong,8673,19585098,72.4068290334,80,5,>1K
393,works,8652,19593750,72.4388157962,80,5,>1K
394,girls,8609,19602359,72.4706435865,80,5,>1K
395,car,8602,19610961,72.5024454975,80,3,>1K
396,feeling,8571,19619532,72.5341328003,80,7,>1K
397,eat,8549,19628081,72.5657387683,80,3,>1K
398,probably,8498,19636579,72.5971561875,80,8,>1K
399,bed,8496,19645075,72.6285662126,80,3,>1K
400,kind,8492,19653567,72.6599614495,80,4,>1K
401,fans,8436,19662003,72.6911496524,80,4,>1K
402,buy,8429,19670432,72.722311976,80,3,>1K
403,used,8425,19678857,72.7534595115,80,4,>1K
404,least,8408,19687265,72.7845441973,80,5,>1K
405,hour,8398,19695663,72.8155919128,80,4,>1K
406,cant,8398,19704061,72.8466396283,80,4,>1K
407,sweet,8276,19712337,72.8772363052,80,5,>1K
408,late,8262,19720599,72.9077812237,80,4,>1K
409,okay,8216,19728815,72.9381560785,80,4,>1K
410,dude,8183,19736998,72.968408931,80,4,>1K
411,hair,8164,19745162,72.9985915399,80,4,>1K
412,gets,8132,19753294,73.0286558435,80,4,>1K
413,full,8108,19761402,73.0586314183,80,4,>1K
414,found,8045,19769447,73.0883740798,80,5,>1K
415,yourself,8040,19777487,73.1180982561,80,8,>1K
416,taking,8019,19785506,73.1477447946,80,6,>1K
417,meeting,8004,19793510,73.1773358775,80,7,>1K
418,room,7998,19801508,73.2069047783,80,4,>1K
419,post,7963,19809471,73.2363442827,80,4,>1K
420,lmao,7952,19817423,73.2657431197,80,4,>1K
421,monday,7925,19825348,73.2950421368,80,6,>1K
422,yesterday,7896,19833244,73.3242339398,80,9,>1K
423,seeing,7878,19841122,73.3533591961,80,6,>1K
424,once,7853,19848975,73.3823920265,80,4,>1K
425,whole,7771,19856746,73.4111216998,80,5,>1K
426,event,7762,19864508,73.4398180999,80,5,>1K
427,sad,7724,19872232,73.4683740125,80,3,>1K
428,super,7695,19879927,73.4968227111,80,5,>1K
429,bro,7671,19887598,73.5251826808,80,3,>1K
430,story,7652,19895250,73.5534724067,80,5,>1K
431,together,7647,19902897,73.5817436475,80,8,>1K
432,listening,7642,19910539,73.6099964032,80,9,>1K
433,social,7614,19918153,73.6381456417,80,6,>1K
434,perfect,7611,19925764,73.6662837892,80,7,>1K
435,tv,7564,19933328,73.6942481759,80,2,>1K
436,break,7532,19940860,73.7220942575,80,5,>1K
437,lunch,7517,19948377,73.7498848835,80,5,>1K
438,top,7490,19955867,73.7775756895,80,3,>1K
439,forget,7480,19963347,73.8052295252,80,6,>1K
440,join,7473,19970820,73.8328574816,80,4,>1K
441,black,7445,19978265,73.8603819209,80,5,>1K
442,t,7435,19985700,73.8878693899,80,1,>1K
443,called,7412,19993112,73.915271827,80,6,>1K
444,told,7365,20000477,73.9425005034,80,4,>1K
445,reading,7350,20007827,73.9696737243,80,7,>1K
446,set,7343,20015170,73.9968210659,80,3,>1K
447,lost,7316,20022486,74.0238685875,80,4,>1K
448,text,7297,20029783,74.0508458654,80,4,>1K
449,point,7296,20037079,74.0778194463,80,5,>1K
450,y,7269,20044348,74.1046932071,80,1,>1K
451,la,7246,20051594,74.1314819361,80,2,>1K
452,saying,7236,20058830,74.1582336948,80,6,>1K
453,rock,7226,20066056,74.1849484831,80,4,>1K
454,coffee,7218,20073274,74.2116336951,80,6,>1K
455,games,7211,20080485,74.2382930278,80,5,>1K
456,women,7203,20087688,74.2649227842,80,5,>1K
457,dinner,7174,20094862,74.2914453266,80,6,>1K
458,waiting,7156,20102018,74.3179013223,80,7,>1K
459,came,7140,20109158,74.3442981654,80,4,>1K
460,definitely,7126,20116284,74.37064325,80,10,>1K
461,special,7093,20123377,74.3968663324,80,7,>1K
462,course,7038,20130415,74.4228860778,80,6,>1K
463,m,7017,20137432,74.4488281854,80,1,>1K
464,seriously,6986,20144418,74.4746556848,80,9,>1K
465,leave,6979,20151397,74.500457305,80,5,>1K
466,c,6951,20158348,74.5261554081,80,1,>1K
467,line,6863,20165211,74.551528172,80,4,>1K
468,starting,6843,20172054,74.5768269952,80,8,>1K
469,media,6836,20178890,74.6020999391,80,5,>1K
470,cute,6805,20185695,74.6272582749,80,4,>1K
471,goes,6800,20192495,74.6523981255,80,4,>1K
472,boy,6787,20199282,74.6774899146,80,3,>1K
473,minutes,6774,20206056,74.7025336422,80,7,>1K
474,agree,6770,20212826,74.7275625817,80,5,>1K
475,words,6763,20219589,74.7525656419,80,5,>1K
476,red,6746,20226335,74.7775058525,80,3,>1K
477,learn,6717,20233052,74.802338849,80,5,>1K
478,bit,6705,20239757,74.8271274811,80,3,>1K
479,thats,6698,20246455,74.8518902339,80,5,>1K
480,problem,6682,20253137,74.8765938342,80,7,>1K
481,state,6665,20259802,74.9012345848,80,5,>1K
482,moment,6657,20266459,74.9258457591,80,6,>1K
483,half,6649,20273108,74.9504273571,80,4,>1K
484,started,6632,20279740,74.9749461055,80,7,>1K
485,tired,6620,20286360,74.9994204895,80,5,>1K
486,move,6575,20292935,75.0237285068,80,4,>1K
487,month,6533,20299468,75.0478812485,80,5,>1K
488,question,6495,20305963,75.0718935029,80,8,>1K
489,interesting,6475,20312438,75.0958318165,80,11,>1K
490,wants,6453,20318891,75.1196887953,80,5,>1K
491,white,6432,20325323,75.1434681363,80,5,>1K
492,loved,6432,20331755,75.1672474773,80,5,>1K
493,totally,6412,20338167,75.1909528776,80,7,>1K
494,bout,6409,20344576,75.2146471868,80,4,>1K
495,during,6404,20350980,75.2383230108,80,6,>1K
496,drink,6400,20357380,75.2619840466,80,5,>1K
497,hahaha,6387,20363767,75.285597021,80,6,>1K
498,less,6368,20370135,75.3091397517,80,4,>1K
499,missed,6360,20376495,75.332652906,80,6,>1K
500,later,6348,20382843,75.356121696,80,5,>1K
501,each,6313,20389156,75.3794610896,80,4,>1K
502,wonder,6310,20395466,75.4027893921,80,6,>1K
503,wanted,6293,20401759,75.426054845,80,6,>1K
504,gone,6276,20408035,75.4492574483,80,4,>1K
505,comes,6264,20414299,75.4724156871,80,5,>1K
506,mother,6245,20420544,75.4955036823,80,6,>1K
507,pick,6245,20426789,75.5185916774,80,4,>1K
508,took,6227,20433016,75.5416131259,80,4,>1K
509,chance,6210,20439226,75.5645717247,80,6,>1K
510,list,6199,20445425,75.5874896562,80,4,>1K
511,office,6195,20451620,75.6103927994,80,6,>1K
512,happen,6185,20457805,75.6332589724,80,6,>1K
513,yea,6166,20463971,75.6560549016,80,3,>1K
514,using,6164,20470135,75.6788434367,80,5,>1K
515,wonderful,6163,20476298,75.7016282748,80,9,>1K
516,online,6113,20482411,75.7242282611,80,6,>1K
517,ago,6103,20488514,75.746791277,80,3,>1K
518,weeks,6103,20494617,75.7693542929,80,5,>1K
519,beer,6098,20500715,75.7918988236,80,4,>1K
520,listen,6085,20506800,75.8143952929,80,6,>1K
521,means,6084,20512884,75.8368880651,80,5,>1K
522,page,6077,20518961,75.859354958,80,4,>1K
523,either,6067,20525028,75.8817848806,80,6,>1K
524,close,5993,20531021,75.9039412224,80,5,>1K
525,hello,5989,20537010,75.9260827761,80,5,>1K
526,lots,5987,20542997,75.9482169358,80,4,>1K
